Category,Message
spam,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528
ham,Then. You are eldest know.
ham,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
ham,When/where do I pick you up
ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
ham,Otherwise had part time job na-tuition..
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
ham,One small prestige problem now.
ham,We're finally ready fyi
ham,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.
ham,"Not much, just some textin'. How bout you?"
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
ham,Hows the pain dear?y r u smiling?
ham,Yeah we do totes. When u wanna?
ham,Going on nothing great.bye
ham,Then ur sis how?
ham,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!
ham,"Aight I'll grab something to eat too, text me when you're back at mu"
ham,Ya even those cookies have jelly on them
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month
ham,Lmao ok I wont be needing u to do my hair anymore.
ham,:-) yeah! Lol. Luckily i didn't have a starring role like you!
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
ham,Just normal only here :)
spam,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705
ham,Thts god's gift for birds as humans hav some natural gift frm god..
spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
ham,I am waiting for your call sir.
spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner
ham,Got meh... When?
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
